Id,Type,Time,Level,Volts
2,moist,2015-06-11 20:45:02,213,0.69
1,moist,2015-06-11 20:55:02,283,0.91
2,moist,2015-06-11 20:55:02,214,0.69
1,moist,2015-06-11 21:05:02,282,0.91
2,moist,2015-06-11 21:05:02,216,0.7
1,moist,2015-06-11 21:15:02,284,0.92
2,moist,2015-06-11 21:15:02,218,0.7
1,moist,2015-06-11 21:25:02,284,0.92
2,moist,2015-06-11 21:25:02,220,0.71
1,moist,2015-06-11 21:35:02,282,0.91
2,moist,2015-06-11 21:35:02,223,0.72
1,moist,2015-06-11 21:45:02,287,0.93
2,moist,2015-06-11 21:45:02,223,0.72
1,moist,2015-06-11 21:55:02,282,0.91
2,moist,2015-06-11 21:55:02,225,0.73
1,moist,2015-06-11 22:05:02,286,0.92
2,moist,2015-06-11 22:05:02,224,0.72
1,moist,2015-06-11 22:15:02,286,0.92
2,moist,2015-06-11 22:15:02,227,0.73
1,moist,2015-06-11 22:25:02,285,0.92
2,moist,2015-06-11 22:25:02,226,0.73
1,moist,2015-06-11 22:35:02,286,0.92
2,moist,2015-06-11 22:35:02,228,0.74
